date,home_team_name,away_team_name,home_score,away_score
1998-06-28,France,Paraguay,1,0
1998-06-27,Brazil,Chile,4,1
1998-06-27,Italy,Norway,1,0
1998-06-26,Japan,Jamaica,1,2
1998-06-26,Argentina,Croatia,1,0
1998-06-26,Romania,Tunisia,1,1
1998-06-26,Colombia,England,0,2
1998-06-25,United States,Yugoslavia,0,1
1998-06-25,Germany,Iran,2,0
1998-06-25,Netherlands,Mexico,2,2
1998-06-25,Belgium,South Korea,1,1
1998-06-24,Nigeria,Paraguay,1,3
1998-06-24,France,Denmark,2,1
1998-06-24,South Africa,Saudi Arabia,2,2
1998-06-24,Spain,Bulgaria,6,1
1998-06-23,Scotland,Morocco,0,3
1998-06-23,Brazil,Norway,1,2
1998-06-23,Italy,Austria,2,1
1998-06-23,Chile,Cameroon,1,1
1998-06-22,Romania,England,2,1
1998-06-22,Colombia,Tunisia,1,0
1998-06-21,Germany,Yugoslavia,2,2
1998-06-21,Argentina,Jamaica,5,0
1998-06-21,United States,Iran,1,2
1998-06-20,Netherlands,South Korea,5,0
1998-06-20,Belgium,Mexico,2,2
1998-06-20,Japan,Croatia,0,1
1998-06-19,Spain,Paraguay,0,0
1998-06-19,Nigeria,Bulgaria,1,0
1998-06-18,France,Saudi Arabia,4,0
1998-06-18,South Africa,Denmark,1,1
1998-06-17,Italy,Cameroon,3,0
1998-06-17,Chile,Austria,1,1
1998-06-16,Scotland,Norway,1,1
1998-06-16,Brazil,Morocco,3,0
1998-06-15,Germany,United States,2,0
1998-06-15,Romania,Colombia,1,0
1998-06-15,England,Tunisia,2,0
1998-06-14,Jamaica,Croatia,1,3
1998-06-14,Yugoslavia,Iran,1,0
1998-06-14,Argentina,Japan,1,0
1998-06-13,Spain,Nigeria,2,3
1998-06-13,South Korea,Mexico,1,3
1998-06-13,Netherlands,Belgium,0,0
1998-06-12,France,South Africa,3,0
1998-06-12,Saudi Arabia,Denmark,0,1
1998-06-12,Paraguay,Bulgaria,0,0
1998-06-11,Cameroon,Austria,1,1
1998-06-11,Italy,Chile,2,2
1998-06-10,Morocco,Norway,2,2
1998-06-10,Brazil,Scotland,2,1
1995-06-18,Germany,Norway,0,2
1995-06-17,China,United States,0,2
1995-06-15,United States,Norway,0,1
1995-06-15,Germany,China,1,0
1995-06-13,Sweden,China,1,1
1995-06-13,Germany,England,3,0
1995-06-13,Norway,Denmark,3,1
1995-06-13,Japan,United States,0,4
1995-06-10,United States,Australia,4,1
1995-06-10,China,Denmark,3,1
1995-06-10,Norway,Canada,7,0
1995-06-10,Nigeria,England,2,3
1995-06-09,Sweden,Japan,2,0
1995-06-09,Brazil,Germany,1,6
1995-06-08,United States,Denmark,2,0
1995-06-08,China,Australia,4,2
1995-06-08,Norway,England,2,0
1995-06-08,Nigeria,Canada,3,3
1995-06-07,Brazil,Japan,1,2
1995-06-07,Sweden,Germany,3,2
1995-06-06,Norway,Nigeria,8,0
1995-06-06,England,Canada,3,2
1995-06-06,Denmark,Australia,5,0
1995-06-06,United States,China,3,3
1995-06-05,Sweden,Brazil,0,1
1995-06-05,Germany,Japan,1,0
1994-07-17,Brazil,Italy,0,0
1994-07-16,Sweden,Bulgaria,4,0
1994-07-13,Sweden,Brazil,0,1
1994-07-13,Bulgaria,Italy,1,2
1994-07-10,Bulgaria,Germany,2,1
1994-07-10,Romania,Sweden,2,2
1994-07-09,Netherlands,Brazil,2,3
1994-07-09,Italy,Spain,2,1
1994-07-05,Mexico,Bulgaria,1,1
1994-07-05,Nigeria,Italy,1,2
1994-07-04,Brazil,United States,1,0
1994-07-04,Netherlands,Republic of Ireland,2,0
1994-07-03,Romania,Argentina,3,2
1994-07-03,Saudi Arabia,Sweden,1,3
1994-07-02,Germany,Belgium,3,2
1994-07-02,Spain,Switzerland,3,0
1994-06-30,Argentina,Bulgaria,0,2
1994-06-30,Greece,Nigeria,0,2
1994-06-29,Morocco,Netherlands,1,2
1994-06-29,Belgium,Saudi Arabia,0,1
1994-06-28,Italy,Mexico,1,1
1994-06-28,Brazil,Sweden,1,1
1994-06-28,Russia,Cameroon,6,1
1994-06-28,Republic of Ireland,Norway,0,0
1994-06-27,Germany,South Korea,3,2
1994-06-27,Bolivia,Spain,1,3
1994-06-26,United States,Romania,0,1
1994-06-26,Switzerland,Colombia,0,2
1994-06-26,Bulgaria,Greece,4,0
1994-06-25,Saudi Arabia,Morocco,2,1
1994-06-25,Belgium,Netherlands,1,0
1994-06-25,Argentina,Nigeria,2,1
1994-06-24,Brazil,Cameroon,3,0
1994-06-24,Mexico,Republic of Ireland,2,1
1994-06-24,Sweden,Russia,3,1
1994-06-23,Italy,Norway,1,0
1994-06-23,South Korea,Bolivia,0,0
1994-06-22,Romania,Switzerland,1,4
1994-06-22,United States,Colombia,2,1
1994-06-21,Nigeria,Bulgaria,3,0
1994-06-21,Germany,Spain,1,1
1994-06-21,Argentina,Greece,4,0
1994-06-20,Netherlands,Saudi Arabia,2,1
1994-06-20,Brazil,Russia,2,0
1994-06-19,Norway,Mexico,1,0
1994-06-19,Cameroon,Sweden,2,2
1994-06-19,Belgium,Morocco,1,0
1994-06-18,Colombia,Romania,1,3
1994-06-18,Italy,Republic of Ireland,0,1
1994-06-18,United States,Switzerland,1,1
1994-06-17,Germany,Bolivia,1,0
1994-06-17,Spain,South Korea,2,2
1991-11-30,Norway,United States,1,2
1991-11-29,Sweden,Germany,4,0
1991-11-27,Sweden,Norway,1,4
1991-11-27,Germany,United States,2,5
1991-11-24,United States,Chinese Taipei,7,0
1991-11-24,Norway,Italy,3,2
1991-11-24,China,Sweden,0,1
1991-11-24,Denmark,Germany,1,2
1991-11-21,Italy,Germany,0,2
1991-11-21,Chinese Taipei,Nigeria,2,0
1991-11-21,Norway,Denmark,2,1
1991-11-21,China,New Zealand,4,1
1991-11-21,Japan,United States,0,3
1991-11-21,Brazil,Sweden,0,2
1991-11-19,Brazil,United States,0,5
1991-11-19,Italy,Nigeria,1,0
1991-11-19,China,Denmark,2,2
1991-11-19,Norway,New Zealand,4,0
1991-11-19,Japan,Sweden,0,8
1991-11-19,Chinese Taipei,Germany,0,3
1991-11-17,Germany,Nigeria,4,0
1991-11-17,Denmark,New Zealand,3,0
1991-11-17,Sweden,United States,2,3
1991-11-17,Chinese Taipei,Italy,0,5
1991-11-17,Japan,Brazil,0,1
1991-11-16,China,Norway,4,0
1990-07-08,West Germany,Argentina,1,0
1990-07-07,Italy,England,2,1
1990-07-04,West Germany,England,1,1
1990-07-03,Argentina,Italy,1,1
1990-07-01,Cameroon,England,2,3
1990-07-01,Czechoslovakia,West Germany,0,1
1990-06-30,Republic of Ireland,Italy,0,1
1990-06-30,Argentina,Yugoslavia,0,0
1990-06-26,England,Belgium,1,0
1990-06-26,Spain,Yugoslavia,1,2
1990-06-25,Italy,Uruguay,2,0
1990-06-25,Republic of Ireland,Romania,0,0
1990-06-24,West Germany,Netherlands,2,1
1990-06-24,Brazil,Argentina,0,1
1990-06-23,Czechoslovakia,Costa Rica,4,1
1990-06-23,Cameroon,Colombia,2,1
1990-06-21,England,Egypt,1,0
1990-06-21,South Korea,Uruguay,0,1
1990-06-21,Belgium,Spain,1,2
1990-06-21,Republic of Ireland,Netherlands,1,1
1990-06-20,Sweden,Costa Rica,1,2
1990-06-20,Brazil,Scotland,1,0
1990-06-19,Yugoslavia,United Arab Emirates,4,1
1990-06-19,Italy,Czechoslovakia,2,0
1990-06-19,Austria,United States,2,1
1990-06-19,West Germany,Colombia,1,1
1990-06-18,Cameroon,Soviet Union,0,4
1990-06-18,Argentina,Romania,1,1
1990-06-17,South Korea,Spain,1,3
1990-06-17,Belgium,Uruguay,3,1
1990-06-17,Republic of Ireland,Egypt,0,0
1990-06-16,Sweden,Scotland,1,2
1990-06-16,Brazil,Costa Rica,1,0
1990-06-16,England,Netherlands,0,0
1990-06-15,West Germany,United Arab Emirates,5,1
1990-06-15,Austria,Czechoslovakia,0,1
1990-06-14,Italy,United States,1,0
1990-06-14,Yugoslavia,Colombia,1,0
1990-06-14,Cameroon,Romania,2,1
1990-06-13,Argentina,Soviet Union,2,0
1990-06-13,Uruguay,Spain,0,0
1990-06-12,Netherlands,Egypt,1,1
1990-06-12,Belgium,South Korea,2,0
1990-06-11,Costa Rica,Scotland,1,0
1990-06-11,England,Republic of Ireland,1,1
1990-06-10,West Germany,Yugoslavia,4,1
1990-06-10,Brazil,Sweden,2,1
1990-06-10,United States,Czechoslovakia,1,5
1990-06-09,Italy,Austria,1,0
1990-06-09,United Arab Emirates,Colombia,0,2
1990-06-09,Soviet Union,Romania,0,2
1990-06-08,Argentina,Cameroon,0,1
1986-06-29,Argentina,West Germany,3,2
1986-06-28,Belgium,France,2,4
1986-06-25,France,West Germany,0,2
1986-06-25,Argentina,Belgium,2,0
1986-06-22,Spain,Belgium,1,1
1986-06-22,Argentina,England,2,1
1986-06-21,West Germany,Mexico,0,0
1986-06-21,Brazil,France,1,1
1986-06-18,Denmark,Spain,1,5
1986-06-18,England,Paraguay,3,0
1986-06-17,Morocco,West Germany,0,1
1986-06-17,Italy,France,0,2
1986-06-16,Argentina,Uruguay,1,0
1986-06-16,Brazil,Poland,4,0
1986-06-15,Soviet Union,Belgium,3,4
1986-06-15,Mexico,Bulgaria,2,0
1986-06-13,Scotland,Uruguay,0,0
1986-06-13,Denmark,West Germany,2,0
1986-06-12,Algeria,Spain,0,3
1986-06-12,Northern Ireland,Brazil,0,3
1986-06-11,Paraguay,Belgium,2,2
1986-06-11,Iraq,Mexico,0,1
1986-06-11,England,Poland,3,0
1986-06-11,Portugal,Morocco,1,3
1986-06-10,South Korea,Italy,2,3
1986-06-10,Argentina,Bulgaria,2,0
1986-06-09,Soviet Union,Canada,2,0
1986-06-09,Hungary,France,0,3
1986-06-08,Denmark,Uruguay,6,1
1986-06-08,West Germany,Scotland,2,1
1986-06-08,Iraq,Belgium,1,2
1986-06-07,Northern Ireland,Spain,1,2
1986-06-07,Mexico,Paraguay,1,1
1986-06-07,Poland,Portugal,1,0
1986-06-06,England,Morocco,0,0
1986-06-06,Brazil,Algeria,1,0
1986-06-06,Hungary,Canada,2,0
1986-06-05,South Korea,Bulgaria,1,1
1986-06-05,France,Soviet Union,1,1
1986-06-05,Italy,Argentina,1,1
1986-06-04,Uruguay,West Germany,1,1
1986-06-04,Paraguay,Iraq,1,0
1986-06-04,Scotland,Denmark,0,1
1986-06-03,Portugal,England,1,0
1986-06-03,Algeria,Northern Ireland,1,1
1986-06-03,Belgium,Mexico,1,2
1986-06-02,Morocco,Poland,0,0
1986-06-02,Soviet Union,Hungary,6,0
1986-06-02,Argentina,South Korea,3,1
1986-06-01,Canada,France,0,1
1986-06-01,Spain,Brazil,0,1
1986-05-31,Bulgaria,Italy,1,1
1982-07-11,Italy,West Germany,3,1
1982-07-10,Poland,France,3,2
1982-07-08,West Germany,France,3,3
1982-07-08,Poland,Italy,0,2
1982-07-05,Spain,England,0,0
1982-07-05,Italy,Brazil,3,2
1982-07-04,France,Northern Ireland,4,1
1982-07-04,Soviet Union,Poland,0,0
1982-07-02,West Germany,Spain,2,1
1982-07-02,Argentina,Brazil,1,3
1982-07-01,Belgium,Soviet Union,0,1
1982-07-01,Austria,Northern Ireland,2,2
1982-06-29,West Germany,England,0,0
1982-06-29,Italy,Argentina,2,1
1982-06-28,Poland,Belgium,3,0
1982-06-28,Austria,France,0,1
1982-06-25,England,Kuwait,1,0
1982-06-25,West Germany,Austria,1,0
1982-06-25,Spain,Northern Ireland,0,1
1982-06-24,Honduras,Yugoslavia,0,1
1982-06-24,France,Czechoslovakia,1,1
1982-06-24,Algeria,Chile,3,2
1982-06-23,Brazil,New Zealand,4,0
1982-06-23,Italy,Cameroon,1,1
1982-06-23,Argentina,El Salvador,2,0
1982-06-22,Belgium,Hungary,1,1
1982-06-22,Poland,Peru,5,1
1982-06-22,Soviet Union,Scotland,2,2
1982-06-21,Honduras,Northern Ireland,1,1
1982-06-21,France,Kuwait,4,1
1982-06-21,Algeria,Austria,0,2
1982-06-20,Spain,Yugoslavia,2,1
1982-06-20,England,Czechoslovakia,2,0
1982-06-20,West Germany,Chile,4,1
1982-06-19,Soviet Union,New Zealand,3,0
1982-06-19,Belgium,El Salvador,1,0
1982-06-19,Poland,Cameroon,0,0
1982-06-18,Brazil,Scotland,4,1
1982-06-18,Argentina,Hungary,4,1
1982-06-18,Italy,Peru,1,1
1982-06-17,Czechoslovakia,Kuwait,1,1
1982-06-17,Chile,Austria,0,1
1982-06-17,Yugoslavia,Northern Ireland,0,0
1982-06-16,Spain,Honduras,1,1
1982-06-16,West Germany,Algeria,1,2
1982-06-16,England,France,3,1
1982-06-15,Hungary,El Salvador,10,1
1982-06-15,Peru,Cameroon,0,0
1982-06-15,Scotland,New Zealand,5,2
1982-06-14,Brazil,Soviet Union,2,1
1982-06-14,Italy,Poland,0,0
1982-06-13,Argentina,Belgium,0,1
1978-06-25,Argentina,Netherlands,3,1
1978-06-24,Brazil,Italy,2,1
1978-06-21,Brazil,Poland,3,1
1978-06-21,Italy,Netherlands,1,2
1978-06-21,Austria,West Germany,3,2
1978-06-21,Argentina,Peru,6,0
1978-06-18,Argentina,Brazil,0,0
1978-06-18,Netherlands,West Germany,2,2
1978-06-18,Italy,Austria,1,0
1978-06-18,Peru,Poland,0,1
1978-06-14,Argentina,Poland,2,0
1978-06-14,Brazil,Peru,3,0
1978-06-14,Italy,West Germany,0,0
1978-06-14,Austria,Netherlands,1,5
1978-06-11,Spain,Sweden,1,0
1978-06-11,Brazil,Austria,1,0
1978-06-11,Peru,Iran,4,1
1978-06-11,Scotland,Netherlands,3,2
1978-06-10,Argentina,Italy,0,1
1978-06-10,West Germany,Tunisia,0,0
1978-06-10,Poland,Mexico,3,1
1978-06-10,France,Hungary,3,1
1978-06-07,Austria,Sweden,1,0
1978-06-07,Netherlands,Peru,0,0
1978-06-07,Brazil,Spain,0,0
1978-06-07,Scotland,Iran,1,1
1978-06-06,Argentina,France,2,1
1978-06-06,West Germany,Mexico,6,0
1978-06-06,Poland,Tunisia,1,0
1978-06-06,Italy,Hungary,3,1
1978-06-03,Austria,Spain,2,1
1978-06-03,Peru,Scotland,3,1
1978-06-03,Netherlands,Iran,3,0
1978-06-03,Brazil,Sweden,1,1
1978-06-02,Tunisia,Mexico,3,1
1978-06-02,Italy,France,2,1
1978-06-02,Argentina,Hungary,2,1
1978-06-01,West Germany,Poland,0,0
1974-07-07,Netherlands,West Germany,1,2
1974-07-06,Brazil,Poland,0,1
1974-07-03,Sweden,Yugoslavia,2,1
1974-07-03,Netherlands,Brazil,2,0
1974-07-03,Argentina,East Germany,1,1
1974-07-03,Poland,West Germany,0,1
1974-06-30,West Germany,Sweden,4,2
1974-06-30,Poland,Yugoslavia,2,1
1974-06-30,East Germany,Netherlands,0,2
1974-06-30,Argentina,Brazil,1,2
1974-06-26,Yugoslavia,West Germany,0,2
1974-06-26,Sweden,Poland,0,1
1974-06-26,Netherlands,Argentina,4,0
1974-06-26,Brazil,East Germany,1,0
1974-06-23,Sweden,Uruguay,3,0
1974-06-23,Bulgaria,Netherlands,1,4
1974-06-23,Poland,Italy,2,1
1974-06-23,Argentina,Haiti,4,1
1974-06-22,East Germany,West Germany,1,0
1974-06-22,Zaire,Brazil,0,3
1974-06-22,Scotland,Yugoslavia,1,1
1974-06-22,Australia,Chile,0,0
1974-06-19,Haiti,Poland,0,7
1974-06-19,Argentina,Italy,1,1
1974-06-19,Netherlands,Sweden,0,0
1974-06-19,Bulgaria,Uruguay,1,1
1974-06-18,Yugoslavia,Zaire,9,0
1974-06-18,Scotland,Brazil,0,0
1974-06-18,Chile,East Germany,1,1
1974-06-18,Australia,West Germany,0,3
1974-06-15,Italy,Haiti,3,1
1974-06-15,Uruguay,Netherlands,0,2
1974-06-15,Sweden,Bulgaria,0,0
1974-06-15,Poland,Argentina,3,2
1974-06-14,West Germany,Chile,1,0
1974-06-14,East Germany,Australia,2,0
1974-06-14,Zaire,Scotland,0,2
1974-06-13,Brazil,Yugoslavia,0,0
1970-06-21,Brazil,Italy,4,1
1970-06-20,West Germany,Uruguay,1,0
1970-06-17,Italy,West Germany,4,3
1970-06-17,Brazil,Uruguay,3,1
1970-06-14,West Germany,England,3,2
1970-06-14,Soviet Union,Uruguay,0,1
1970-06-14,Italy,Mexico,4,1
1970-06-14,Brazil,Peru,4,2
1970-06-11,Bulgaria,Morocco,1,1
1970-06-11,England,Czechoslovakia,1,0
1970-06-11,Italy,Israel,0,0
1970-06-11,Mexico,Belgium,1,0
1970-06-10,Soviet Union,El Salvador,2,0
1970-06-10,Brazil,Romania,3,2
1970-06-10,Sweden,Uruguay,1,0
1970-06-10,West Germany,Peru,3,1
1970-06-07,West Germany,Bulgaria,5,2
1970-06-07,Brazil,England,1,0
1970-06-07,Sweden,Israel,1,1
1970-06-07,Mexico,El Salvador,4,0
1970-06-06,Uruguay,Italy,0,0
1970-06-06,Peru,Morocco,3,0
1970-06-06,Romania,Czechoslovakia,2,1
1970-06-06,Soviet Union,Belgium,4,1
1970-06-03,West Germany,Morocco,2,1
1970-06-03,Brazil,Czechoslovakia,4,1
1970-06-03,Italy,Sweden,1,0
1970-06-03,Belgium,El Salvador,3,0
1970-06-02,England,Romania,1,0
1970-06-02,Uruguay,Israel,2,0
1970-06-02,Peru,Bulgaria,3,2
1970-05-31,Mexico,Soviet Union,0,0
1966-07-30,England,West Germany,4,2
1966-07-28,Portugal,Soviet Union,2,1
1966-07-26,England,Portugal,2,1
1966-07-25,West Germany,Soviet Union,2,1
1966-07-23,West Germany,Uruguay,4,0
1966-07-23,Soviet Union,Hungary,2,1
1966-07-23,Portugal,North Korea,5,3
1966-07-23,England,Argentina,1,0
1966-07-20,Soviet Union,Chile,2,1
1966-07-20,Hungary,Bulgaria,3,1
1966-07-20,West Germany,Spain,2,1
1966-07-20,England,France,2,0
1966-07-19,North Korea,Italy,1,0
1966-07-19,Portugal,Brazil,3,1
1966-07-19,Argentina,Switzerland,2,0
1966-07-19,Mexico,Uruguay,0,0
1966-07-16,Argentina,West Germany,0,0
1966-07-16,Soviet Union,Italy,1,0
1966-07-16,Portugal,Bulgaria,3,0
1966-07-16,England,Mexico,2,0
1966-07-15,Chile,North Korea,1,1
1966-07-15,Hungary,Brazil,3,1
1966-07-15,Spain,Switzerland,2,1
1966-07-15,Uruguay,France,2,1
1966-07-13,Italy,Chile,2,0
1966-07-13,Portugal,Hungary,3,1
1966-07-13,Argentina,Spain,2,1
1966-07-13,France,Mexico,1,1
1966-07-12,Soviet Union,North Korea,3,0
1966-07-12,Brazil,Bulgaria,2,0
1966-07-12,West Germany,Switzerland,5,0
1966-07-11,England,Uruguay,0,0
1962-06-17,Brazil,Czechoslovakia,3,1
1962-06-16,Chile,Yugoslavia,1,0
1962-06-13,Czechoslovakia,Yugoslavia,3,1
1962-06-13,Brazil,Chile,4,2
1962-06-10,Czechoslovakia,Hungary,1,0
1962-06-10,Brazil,England,3,1
1962-06-10,Yugoslavia,West Germany,1,0
1962-06-10,Chile,Soviet Union,2,1
1962-06-07,Italy,Switzerland,3,0
1962-06-07,Yugoslavia,Colombia,5,0
1962-06-07,Mexico,Czechoslovakia,3,1
1962-06-07,England,Bulgaria,0,0
1962-06-06,Hungary,Argentina,0,0
1962-06-06,Brazil,Spain,2,1
1962-06-06,West Germany,Chile,2,0
1962-06-06,Soviet Union,Uruguay,2,1
1962-06-03,Spain,Mexico,1,0
1962-06-03,West Germany,Switzerland,2,1
1962-06-03,Soviet Union,Colombia,4,4
1962-06-03,Hungary,Bulgaria,6,1
1962-06-02,England,Argentina,3,1
1962-06-02,Brazil,Czechoslovakia,0,0
1962-06-02,Chile,Italy,2,0
1962-06-02,Yugoslavia,Uruguay,3,1
1962-05-31,Hungary,England,2,1
1962-05-31,Czechoslovakia,Spain,1,0
1962-05-31,West Germany,Italy,0,0
1962-05-31,Soviet Union,Yugoslavia,2,0
1962-05-30,Chile,Switzerland,3,1
1962-05-30,Uruguay,Colombia,2,1
1962-05-30,Argentina,Bulgaria,1,0
1962-05-30,Brazil,Mexico,2,0
1958-06-29,Brazil,Sweden,5,2
1958-06-28,France,West Germany,6,3
1958-06-24,Sweden,West Germany,3,1
1958-06-24,Brazil,France,5,2
1958-06-19,West Germany,Yugoslavia,1,0
1958-06-19,Sweden,Soviet Union,2,0
1958-06-19,France,Northern Ireland,4,0
1958-06-19,Brazil,Wales,1,0
1958-06-17,Soviet Union,England,1,0
1958-06-17,Wales,Hungary,2,1
1958-06-17,Northern Ireland,Czechoslovakia,2,1
1958-06-15,Paraguay,Yugoslavia,3,3
1958-06-15,Sweden,Wales,0,0
1958-06-15,Czechoslovakia,Argentina,6,1
1958-06-15,France,Scotland,2,1
1958-06-15,West Germany,Northern Ireland,2,2
1958-06-15,Hungary,Mexico,4,0
1958-06-15,Brazil,Soviet Union,2,0
1958-06-15,England,Austria,2,2
1958-06-12,Sweden,Hungary,2,1
1958-06-11,Yugoslavia,France,3,2
1958-06-11,Argentina,Northern Ireland,3,1
1958-06-11,West Germany,Czechoslovakia,2,2
1958-06-11,Paraguay,Scotland,3,2
1958-06-11,Mexico,Wales,1,1
1958-06-11,Brazil,England,0,0
1958-06-11,Soviet Union,Austria,2,0
1958-06-08,Sweden,Mexico,3,0
1958-06-08,Soviet Union,England,2,2
1958-06-08,Brazil,Austria,3,0
1958-06-08,Hungary,Wales,1,1
1958-06-08,Yugoslavia,Scotland,1,1
1958-06-08,France,Paraguay,7,3
1958-06-08,Northern Ireland,Czechoslovakia,1,0
1958-06-08,Argentina,West Germany,1,3
1954-07-04,West Germany,Hungary,3,2
1954-07-03,Austria,Uruguay,3,1
1954-06-30,West Germany,Austria,6,1
1954-06-30,Hungary,Uruguay,4,2
1954-06-27,West Germany,Yugoslavia,2,0
1954-06-27,Hungary,Brazil,4,2
1954-06-26,Uruguay,England,4,2
1954-06-26,Austria,Switzerland,7,5
1954-06-23,West Germany,Turkey,7,2
1954-06-23,Switzerland,Italy,4,1
1954-06-20,Turkey,South Korea,7,0
1954-06-20,Hungary,West Germany,8,3
1954-06-20,England,Switzerland,2,0
1954-06-20,Italy,Belgium,4,1
1954-06-19,France,Mexico,3,2
1954-06-19,Austria,Czechoslovakia,5,0
1954-06-19,Brazil,Yugoslavia,1,1
1954-06-19,Uruguay,Scotland,7,0
1954-06-17,Switzerland,Italy,2,1
1954-06-17,Hungary,South Korea,9,0
1954-06-17,West Germany,Turkey,4,1
1954-06-17,England,Belgium,4,4
1954-06-16,Austria,Scotland,1,0
1954-06-16,Yugoslavia,France,1,0
1954-06-16,Brazil,Mexico,5,0
1954-06-16,Uruguay,Czechoslovakia,2,0
1950-07-16,Uruguay,Brazil,2,1
1950-07-16,Sweden,Spain,3,1
1950-07-13,Brazil,Spain,6,1
1950-07-13,Uruguay,Sweden,3,2
1950-07-09,Uruguay,Spain,2,2
1950-07-09,Brazil,Sweden,7,1
1950-07-02,Chile,United States,5,2
1950-07-02,Switzerland,Mexico,2,1
1950-07-02,Uruguay,Bolivia,8,0
1950-07-02,Italy,Paraguay,2,0
1950-07-02,Spain,England,1,0
1950-07-01,Brazil,Yugoslavia,2,0
1950-06-29,Spain,Chile,2,0
1950-06-29,United States,England,1,0
1950-06-29,Sweden,Paraguay,2,2
1950-06-28,Yugoslavia,Mexico,4,1
1950-06-28,Brazil,Switzerland,2,2
1950-06-25,Sweden,Italy,3,2
1950-06-25,Spain,United States,3,1
1950-06-25,England,Chile,2,0
1950-06-25,Yugoslavia,Switzerland,3,0
1950-06-24,Brazil,Mexico,4,0
1938-06-19,Italy,Hungary,4,2
1938-06-19,Brazil,Sweden,4,2
1938-06-16,Italy,Brazil,2,1
1938-06-16,Hungary,Sweden,5,1
1938-06-14,Brazil,Czechoslovakia,2,1
1938-06-12,Italy,France,3,1
1938-06-12,Hungary,Switzerland,2,0
1938-06-12,Brazil,Czechoslovakia,1,1
1938-06-12,Sweden,Cuba,8,0
1938-06-09,Cuba,Romania,2,1
1938-06-09,Switzerland,Germany,4,2
1938-06-05,Brazil,Poland,6,5
1938-06-05,Italy,Norway,2,1
1938-06-05,Hungary,Dutch East Indies,6,0
1938-06-05,France,Belgium,3,1
1938-06-05,Cuba,Romania,3,3
1938-06-05,Czechoslovakia,Netherlands,3,0
1938-06-04,Switzerland,Germany,1,1
1934-06-10,Italy,Czechoslovakia,2,1
1934-06-07,Germany,Austria,3,2
1934-06-03,Italy,Austria,1,0
1934-06-03,Czechoslovakia,Germany,3,1
1934-06-01,Italy,Spain,1,0
1934-05-31,Germany,Sweden,2,1
1934-05-31,Czechoslovakia,Switzerland,3,2
1934-05-31,Austria,Hungary,2,1
1934-05-31,Italy,Spain,1,1
1934-05-27,Austria,France,3,2
1934-05-27,Hungary,Egypt,4,2
1934-05-27,Czechoslovakia,Romania,2,1
1934-05-27,Germany,Belgium,5,2
1934-05-27,Switzerland,Netherlands,3,2
1934-05-27,Italy,United States,7,1
1934-05-27,Spain,Brazil,3,1
1934-05-27,Sweden,Argentina,3,2
1930-07-30,Uruguay,Argentina,4,2
1930-07-27,Uruguay,Yugoslavia,6,1
1930-07-26,Argentina,United States,6,1
1930-07-22,Argentina,Chile,3,1
1930-07-21,Uruguay,Romania,4,0
1930-07-20,Paraguay,Belgium,1,0
1930-07-20,Brazil,Bolivia,4,0
1930-07-19,Argentina,Mexico,6,3
1930-07-19,Chile,France,1,0
1930-07-18,Uruguay,Peru,1,0
1930-07-17,Yugoslavia,Bolivia,4,0
1930-07-17,United States,Paraguay,3,0
1930-07-16,Chile,Mexico,3,0
1930-07-15,Argentina,France,1,0
1930-07-14,Yugoslavia,Brazil,2,1
1930-07-14,Romania,Peru,3,1
1930-07-13,United States,Belgium,3,0
1930-07-13,France,Mexico,4,1
